channel,verified,description,subscribers,type,url,date_accessed
Gov.sg,True,Subscribe to receive important Government announcements and updates.,302441,channel,https://t.me/Govsg,211026
GoodLobang👍,False,Feedback & Deals sharing ⬇️🖋http://bit.ly/goodlobang Instagram account ⬇️📷 https://instagram.com/goodlobangsgContent submissions ⬇️👩‍💻 content@confirmgood.comCorporate request ⬇️👩‍💻 hello@confirmgood.com,198559,channel,https://t.me/goodlobang,211026
SG Kiasu Foodies [Discounts/Promos],False,Deals you actually want. 🍔 Submit a deal: bit.ly/3erke1B💛 Contact us:hello@kiasufoodies.com🐤 Join our community:@kiasupoliceWant more deals from us? Join @kiasukakis,174338,channel,https://t.me/KiasuFoodies,211026
CNA,True,Top stories from CNA https://cna.asia,173666,channel,https://t.me/CNALatest,211026
The Straits Times,True,Stay in the know with the latest news from Singapore and around the world.,173441,channel,https://t.me/TheStraitsTimes,211026
Mothership.sg,True,"This is the official Telegram channel for Mothership, a community news service for Singaporeans. You can visit us @ https://mothership.sg. If you have a story to share, drop us a message @ m.me/MothershipSG.",144413,channel,https://t.me/mothershipsg,211026
SG Part Timers #Snatchjobs 🇸🇬,False,Best quality Part Time Job channel of Singapore 🇸🇬Dedicated to ease your job selecting process at your convenience 💪👨‍💻Admin👨‍💻@Willionaire872🤝Associated🤝@sgfulltimers ⬅️ For Full time Career 🧑‍💼👨‍💼Share it with your friends!,118556,channel,https://t.me/SGPartTimers,211026
SG Food Deals,False,A Telegram channel for foodies with the latest food promotions and discounts in Singapore.👉 Feedback/Enquiry: bit.ly/sgfooddealsform,109828,channel,https://t.me/sgfooddeals,211026
SG House Of Jobs,False,Welcome to House of Jobs 🏠 We dedicate our time to find the highest quality of jobs for you! Contact @jasmine9801 for any job postings.New posters please register here: http://bit.ly/reghojHappy hunting and recruiting! ❤️,98090,channel,https://t.me/houseofjobs,211026
Singapore Part Time Jobs,False,"Looking for enthusiastic, responsible and joyous Part Timers to hop on board this wagon!Share the link below and dont let your friends around you miss out on the most popular part-time job channel in SG!",73420,channel,https://t.me/SingaporePartTimeJobs,211026
🇸🇬 SG Hitch 👋 = 🚗 | 🛵 | 🚌 Singapore,False,SGHitch serves as a bridge between DRIVERs & HITCHERs to provide a CHEAPER alternative with the demolition of late night Grab Hitch services.✔️Willing Drivers✔️Willing Hitchers❌Else pls leave or be removedStarted: 26/2/19Feature by ST: goo.gl/9XiRnx,61927,group,https://t.me/SGHitch,211026
SG Weekend Plans,False,A constantly updated list of new things to do so you always spend your weekends well!👉 Feedback/Enquiry: bit.ly/SGweekendform,56042,channel,https://t.me/sgweekend,211026
SG Food Lobang👍,False,Open Channel For Food SharingIf you are a F&B brand with a great offer kindly email us at sgoodlobang@gmail.com for more exposure!,55438,channel,https://t.me/SGFoodLobang,211026
[SG] Grab/Taxi 🚕,False,💬 Got lobang must share! 👨‍👩‍👧‍👦▶️ We help you stay updated on the latest available cab promotions/promo codes!,55271,channel,https://t.me/sgcabpromos,211026
dateideas Singapore,False,"Unique experiences, precious memories. 💓Download our App:bit.ly/diAppDownloadFollow us on IG! instagram.com/dateideassgFor merchants:bit.ly/diPartnerUsContribute an interesting dateidea:bit.ly/DIcontributionQueries/Feedback@dateideassg",49847,channel,https://t.me/dateideas,211026
Seedly Personal Finance SG,False,"Here’s financial info that every Singaporean millennial needs to know, from your friendly neighbourhood Seedly.sgPromise we won’t judge, we just want to help! 👻INVITE YOUR FRIENDS! ➡️ t.me/personalfinancesg",49069,channel,https://t.me/PersonalFinanceSG,211026
SG Travel Promos,False,"We keep you updated on the latest travel deals, discounts and promotions in Singapore! 🇸🇬 From airline tickets, travel activities to overseas accommodations. ✈️Feedback/Enquiry: bit.ly/sgtravelpromosform",47494,channel,https://t.me/sgtravelpromos,211026
TODAY,True,Get the latest headlines from TODAY today 😉,42678,channel,https://t.me/todayonlinesg,211026
MS News,False,,42427,channel,https://t.me/MustShareNews,211026
SG Budget Babes,False,Bringing you the latest beauty and fashion promotions and product releases you can’t miss in Singapore. 💋✨Feedback/Enquiry: http://bit.ly/sgbudgetbabesform,38950,channel,https://t.me/BudgetBabes,211026
SGCODE,False,Singapore Promo CodesWe are also on:https://instagram.com/sgcodehttps://facebook.com/sgcodes,38458,channel,https://t.me/SGCode,211026
SG Student Promos,False,A dedicated group for students with affordable deals so you never have to burn a hole in your pocket.👉 Feedback/Enquiry: bit.ly/sgstudentpromosform,38254,channel,https://t.me/sgstudentpromos,211026
Eatbook,False,Reviews and recommendations on Singapore food 😋Follow @TSLMedia to catch up on the latest news and things to do in Singapore!,36719,channel,https://t.me/Eatbooksg,211026
SG MRT Updates,False,"Get realtime MRT disruption and delay updates, plan alternate routes and minimise inconvenience! - Brought to you by OneSilicon Studio https://fb.com/onesiliconstudio",36454,channel,https://t.me/SGMRT,211026
🇸🇬🇲🇾 Custom & Msia Road🚦⛽️🏍🚗🚌,False,⚠️Custom & Msia Road Conditions⚠️⛽️Fuel Checks/Price Updates⛽️🏍Police Bikes🏍ℹ️Human/Bike/Car Traffic🚦💵Currency Exchange 💵,35543,group,https://t.me/SGCustom,211026
#SGUnitedJobs,False,"Find the latest full time and part time jobs in Singapore, explore upcoming career events, get career tips and industry trends, and more! 🔎Expand your job search at https://mycareersfuture.gov.sgBy Workforce Singapore (WSG)",33388,channel,https://t.me/SG_UnitedJobs,211026
⚠️🚧 SGRoad Blocks / Traffic News,False,Get Up To Date Information On:⚠️Road Traffic (Accident/Serious Jam)🚧Road Blocks📸🌉OHB Speed trap👮🏼‍♀️🚌LTA at Bus Lane👮🏼‍♀️🚕LTA at Taxi Lane🏍TP & LTA Bikes☔️Weather,33287,group,https://t.me/SgRoad,211026
Singapore Part Time / Contract Jobs - sgQuickJobs,False,Welcome to @sgQuickJobs by Assemble 🎉 We connect jobs with job seekers in minutes! ⚡️ 🚀 Talk to our bot: @sgQuickJobsBot for job listings and job applications! Business enquiries: @timtootim,32135,channel,https://t.me/SGQuickJobs,211026
Airfare Promotions - sgAirfarePromos,False,Welcome to @sgAirfarePromos by Assemble 🎉 We share the latest air travel news promotions for frequent travelers. Advertising enquires: @Timtootim,24789,channel,https://t.me/SGAirfarePromos,211026
Singapore Atrium Sale,False,"A channel featuring worthy deals in Singapore. That includes atrium sales and others worthy to be shared Facebook: facebook.com/singaporeatriumsaleFor retailers or distributors seeking a real collaboration, email singaporeatriumsale@gmail.com",24315,channel,https://t.me/singaporeatriumsale,211026
SG JOBS #SearchForJob,False,Best quality Jobs channel in Singapore 🇸🇬Dedication towards easing your job selection process at your utmost convenience For Job Posting Please Contact 👨‍💻Admin: @kylee8,23651,channel,https://t.me/SearchForJob,211026
HDB,True,"The Housing & Development Board (HDB) is Singapore's public housing authority and a statutory board under the Ministry of National Development. Find us at @SingaporeHDB on Facebook, Twitter, LinkedIn, YouTube, or @MyNiceHome on Facebook and Instagram.",23119,channel,https://t.me/SingaporeHDB,211026
🚨SG Rd Updates🚨,False,"To join this chat - @sgroadupdatesShare info immediately -> @SGInformersFor Jobs -> @jobpostingsOfficial channel to broadcast traffic situation to avoid jams. Singapore biggest group, more users more news.Admins: @alsontoh @Dj_Addie@Lmslms",22623,channel,https://t.me/SGRoadUpdates,211026
Singapore Careers and Job Opportunities - sgCareers,False,Welcome to @sgCareers by Assemble 🎉 We connect job seekers to employers instantly. Advertising enquires: @Timtootim,22299,channel,https://t.me/SGCareers,211026
Singapore Internship Opportunities,False,"Telegram channel for internship opportunities in Singapore. Join now! Check worksider.com for more (Finance, Marketing, HR in Startups, SMEs and MNCs) t.me/sginternshipsFor Recruiters, submit your opportunity here: worksider.com",21158,channel,https://t.me/SGInternships,211026
🚚🛵 SG Parcel Delivery Jobs 🛵🚚,False,"1. Post Delivery Assignments or Requests2. No Chit Chat!! & No Gifs! 3. Warnings on Members -Keep it Short & Sharp. If you request action against, eg Ban, produce Police Report4. NO PAX  HITCH REQUESTS! Immediate ban.",20815,group,https://t.me/SGPARCELS,211026
Lee Hsien Loong,True,"Official Telegram channel of Mr Lee Hsien Loong, Prime Minister of Singapore, and leader of the People’s Action Party. This channel is managed by the Prime Minister’s Office.",19661,channel,https://t.me/leehsienloong,211026
DollarsAndSense.sg,False,"Welcome to the DollarsAndSense Telegram channel~Here, you'll find personal finance content, interactive polls, and contests handpicked just for you 😎We hope our content is useful in your journey towards financial freedom and financial knowledge!",19122,channel,https://t.me/DollarsAndSense,211026
SG New Movies & Shows,False,Reviews of the latest movies and shows worth watching. Based on Singapore release dates.👉 Feedback/Enquiry: bit.ly/sgnewmovieform,17802,channel,https://t.me/SGNewMovies,211026
Singapore Events and Places - sgWhereTo,False,Welcome to @sgWhereTo by Assemble 🎉 We’re a lifestyle media platform sharing the latest worthwhile offline and online places to go! Advertising enquires: @Timtootim,17772,channel,https://t.me/SGWhereTo,211026
SG Quarantine Order Support Group,False,Support Group for those under Home Recovery Programme now,16966,group,https://t.me/SGQuarantineOrder,211026
GrabFood SG DP Official Announcements,False,Get the latest updates from the GrabFood team!,16490,channel,https://t.me/GFDPSGOfficial,211026
🇸🇬ℹ️ SG No.1 All in 1 Sharing / Updates,False,sgUpdate share anything that is New/latest! Subscribe to SG Update to get updated with stuff happening around us.- News- Custom Info- Road InfoGot things to share? Join us in http://t.me/SGTalk,14312,channel,https://t.me/SGUpdate,211026
SG Vape 🇸🇬,False,Website: http://www.sgvape9.comTelegram Admin ：@SGVapeREX9💰Cash Delivery Sg🚗🇸🇬 All Product In channel🌟👇Any Question & Order In Whatsapp👇+6014-3120 228👇【Whatsapp Link】Click👇https://sgVapehouse.wasap.my,14090,channel,https://t.me/sgvape9,211026
